String ID,en-us,en-zw,es-es
covid19_hsc_ask_symptoms_yes_travel,"Are you experiencing any of the following:
- Fever greater than 100.4F (38.0C) that has lasted more than 24 hours
- Cough
- Trouble breathing","卂ⓡⓔ ⓨⓞⓤ ⓔⓧⓟⓔⓡⓘⓔⓝⓒⓘⓝⓖ ⓐⓝⓨ ⓞⓕ ⓣⓗⓔ ⓕⓞⓛⓛⓞⓦⓘⓝⓖ:
- 千ⓔⓥⓔⓡ ⓖⓡⓔⓐⓣⓔⓡ ⓣⓗⓐⓝ ①⓪⓪.④千 (38.0C) ⓣⓗⓐⓣ ⓗⓐⓢ ⓛⓐⓢⓣⓔⓓ ⓜⓞⓡⓔ ⓣⓗⓐⓝ ②④ ⓗⓞⓤⓡⓢ
- 匚ⓞⓤⓖⓗ
- ㄒⓡⓞⓤⓑⓛⓔ ⓑⓡⓔⓐⓣⓗⓘⓝⓖ","Are you experiencing any of the following:
- Fiebre de más de 100.4 F (38.0 &deg;C)  por más de 24 horas
- Tos
- Dificultad para respirar"
covid19_hsc_ask_travel,Have you traveled to one of the [Centers for Disease Control and Prevention’s high-risk countries](https://wwwnc.cdc.gov/travel/notices) within the last 14 days?,卄ⓐⓥⓔ ⓨⓞⓤ ⓣⓡⓐⓥⓔⓛⓔⓓ ⓣⓞ ⓞⓝⓔ ⓞⓕ ⓣⓗⓔ [匚ⓔⓝⓣⓔⓡⓢ ⓕⓞⓡ ᗪⓘⓢⓔⓐⓢⓔ 匚ⓞⓝⓣⓡⓞⓛ ⓐⓝⓓ 卩ⓡⓔⓥⓔⓝⓣⓘⓞⓝ’ⓢ ⓗⓘⓖⓗ-ⓡⓘⓢⓚ ⓒⓞⓤⓝⓣⓡⓘⓔⓢ](https://wwwnc.cdc.gov/travel/notices?l=en-zw) ⓦⓘⓣⓗⓘⓝ ⓣⓗⓔ ⓛⓐⓢⓣ ①④ ⓓⓐⓨⓢ?,¿Ha viajado a alguno de los países [considerados de alto riesgo por los Centros para el Control y la Prevención de Enfermedades](https://wwwnc.cdc.gov/travel/notices) en los últimos 14 días?
covid19_hsc_end_message_provider,"If you are an existing patient, send your provider a message using [MyAdvocateAurora](https://myadvocateaurora.org/chart/) or the [LiveWell app](https://www.advocateaurorahealth.org/livewell).","丨ⓕ ⓨⓞⓤ ⓐⓡⓔ ⓐⓝ ⓔⓧⓘⓢⓣⓘⓝⓖ ⓟⓐⓣⓘⓔⓝⓣ, ⓢⓔⓝⓓ ⓨⓞⓤⓡ ⓟⓡⓞⓥⓘⓓⓔⓡ ⓐ ⓜⓔⓢⓢⓐⓖⓔ ⓤⓢⓘⓝⓖ [爪ⓨ卂ⓓⓥⓞⓒⓐⓣⓔ卂ⓤⓡⓞⓡⓐ](https://myadvocateaurora.org/chart/?l=en-zw) ⓞⓡ ⓣⓗⓔ [ㄥⓘⓥⓔ山ⓔⓛⓛ ⓐⓟⓟ](https://www.advocateaurorahealth.org/livewell?l=en-zw).","Si usted es paciente actualmente, envíe un mensaje a su proveedor usando [MyAdvocateAurora](https://myadvocateaurora.org/chart/) o la aplicación [LiveWell app](https://www.advocateaurorahealth.org/livewell)."
covid19_hsc_end_video_visit,We recommend that you schedule a video visit with one of our providers through our LiveWell app.,山ⓔ ⓡⓔⓒⓞⓜⓜⓔⓝⓓ ⓣⓗⓐⓣ ⓨⓞⓤ ⓢⓒⓗⓔⓓⓤⓛⓔ ⓐ ⓥⓘⓓⓔⓞ ⓥⓘⓢⓘⓣ ⓦⓘⓣⓗ ⓞⓝⓔ ⓞⓕ ⓞⓤⓡ ⓟⓡⓞⓥⓘⓓⓔⓡⓢ ⓣⓗⓡⓞⓤⓖⓗ ⓞⓤⓡ ㄥⓘⓥⓔ山ⓔⓛⓛ ⓐⓟⓟ.,"Llame al 1 (866) 443-2584 para hablar con uno de los miembros de nuestro equipo, quien le preguntará sobre sus síntomas y determinará la mejor manera de proceder con la atención."
covid19_hsc_end_visit_ed,Visit your nearest emergency department for further evaluation.,ᐯⓘⓢⓘⓣ ⓨⓞⓤⓡ ⓝⓔⓐⓡⓔⓢⓣ ⓔⓜⓔⓡⓖⓔⓝⓒⓨ ⓓⓔⓟⓐⓡⓣⓜⓔⓝⓣ ⓕⓞⓡ ⓕⓤⓡⓣⓗⓔⓡ ⓔⓥⓐⓛⓤⓐⓣⓘⓞⓝ.,Vaya a la sala de emergencias más cercana para evaluaciones adicionales.
covid19_hsc_schedule_a_video_visit,Schedule a video visit,丂ⓒⓗⓔⓓⓤⓛⓔ ⓐ ⓥⓘⓓⓔⓞ ⓥⓘⓢⓘⓣ,1 (866) 443-2584
covid19_phsc_ask_covid_positive,Has the child tested positive for COVID-19?,卄ⓐⓢ ⓣⓗⓔ ⓒⓗⓘⓛⓓ ⓣⓔⓢⓣⓔⓓ ⓟⓞⓢⓘⓣⓘⓥⓔ ⓕⓞⓡ 匚ㄖᐯ丨ᗪ-①⑨?,¿El menor tuvo una prueba positiva de COVID-19?
covid19_phsc_ask_distressed_no_covid,Is the child in distress?,丨ⓢ ⓣⓗⓔ ⓒⓗⓘⓛⓓ ⓘⓝ ⓓⓘⓢⓣⓡⓔⓢⓢ?,¿El menor se ve muy enfermo?
covid19_phsc_ask_distressed_yes_covid,Is the child in distress?,丨ⓢ ⓣⓗⓔ ⓒⓗⓘⓛⓓ ⓘⓝ ⓓⓘⓢⓣⓡⓔⓢⓢ?,¿El menor se ve muy enfermo?
covid19_phsc_ask_exposure,Has the child or a household contact had a known exposure to COVID-19 in the past 14 days?,卄ⓐⓢ ⓣⓗⓔ ⓒⓗⓘⓛⓓ ⓞⓡ ⓐ ⓗⓞⓤⓢⓔⓗⓞⓛⓓ ⓒⓞⓝⓣⓐⓒⓣ ⓗⓐⓓ ⓐ ⓚⓝⓞⓦⓝ ⓔⓧⓟⓞⓢⓤⓡⓔ ⓣⓞ 匚ㄖᐯ丨ᗪ-①⑨ ⓘⓝ ⓣⓗⓔ ⓟⓐⓢⓣ ①④ ⓓⓐⓨⓢ?,"¿Usted sabe con seguridad que el menor, o alguien con quien estuvo en contacto en casa, ha estado expuesto al COVID-19 en los últimos 14 días?"
covid19_phsc_ask_symptoms_newworse,Has the child either developed new symptoms or are their existing symptoms getting worse?,卄ⓐⓢ ⓣⓗⓔ ⓒⓗⓘⓛⓓ ⓔⓘⓣⓗⓔⓡ ⓓⓔⓥⓔⓛⓞⓟⓔⓓ ⓝⓔⓦ ⓢⓨⓜⓟⓣⓞⓜⓢ ⓞⓡ ⓐⓡⓔ ⓣⓗⓔⓘⓡ ⓔⓧⓘⓢⓣⓘⓝⓖ ⓢⓨⓜⓟⓣⓞⓜⓢ ⓖⓔⓣⓣⓘⓝⓖ ⓦⓞⓡⓢⓔ?,¿El menor tiene síntomas nuevos o los síntomas que ya tenía se están poniendo peor?
covid19_phsc_ask_symptoms_no_travel,"Does the child have any of the following:
- Fever greater than 100.4F (38.0C) for more than 24 hours
- Cough
- Trouble breathing
- Appears ill or weak
- Body aches
- Chills
- Diarrhea
- Headache
- Runny nose
- Sore throat","ᗪⓞⓔⓢ ⓣⓗⓔ ⓒⓗⓘⓛⓓ ⓗⓐⓥⓔ ⓐⓝⓨ ⓞⓕ ⓣⓗⓔ ⓕⓞⓛⓛⓞⓦⓘⓝⓖ:
- 千ⓔⓥⓔⓡ ⓖⓡⓔⓐⓣⓔⓡ ⓣⓗⓐⓝ ①⓪⓪.④千 (38.0C) ⓕⓞⓡ ⓜⓞⓡⓔ ⓣⓗⓐⓝ ②④ ⓗⓞⓤⓡⓢ
- 匚ⓞⓤⓖⓗ
- ㄒⓡⓞⓤⓑⓛⓔ ⓑⓡⓔⓐⓣⓗⓘⓝⓖ
- 卂ⓟⓟⓔⓐⓡⓢ ⓘⓛⓛ ⓞⓡ ⓦⓔⓐⓚ
- 乃ⓞⓓⓨ ⓐⓒⓗⓔⓢ
- 匚ⓗⓘⓛⓛⓢ
- ᗪⓘⓐⓡⓡⓗⓔⓐ
- 卄ⓔⓐⓓⓐⓒⓗⓔ
- 尺ⓤⓝⓝⓨ ⓝⓞⓢⓔ
- 丂ⓞⓡⓔ ⓣⓗⓡⓞⓐⓣ","¿El menor tiene algo de los siguiente?
- Fiebre de más de 100.4 F (38.0 &deg;C) por más de 24 horas.
- Tos
- Dificultad para respirar
- Se le ve enfermo o débil
- Dolor de cuerpo
- Escalofríos
- Diarrea
- Dolor de cabeza
- Carrarro, gripa
- Dolor de garganta"
covid19_phsc_ask_symptoms_yes_travel,"Does the child have any of the following:
- Fever greater than 100.4F (38.0C)
- Cough
- Trouble breathing
- Appears ill or weak","ᗪⓞⓔⓢ ⓣⓗⓔ ⓒⓗⓘⓛⓓ ⓗⓐⓥⓔ ⓐⓝⓨ ⓞⓕ ⓣⓗⓔ ⓕⓞⓛⓛⓞⓦⓘⓝⓖ:
- 千ⓔⓥⓔⓡ ⓖⓡⓔⓐⓣⓔⓡ ⓣⓗⓐⓝ ①⓪⓪.④千 (38.0C)
- 匚ⓞⓤⓖⓗ
- ㄒⓡⓞⓤⓑⓛⓔ ⓑⓡⓔⓐⓣⓗⓘⓝⓖ
- 卂ⓟⓟⓔⓐⓡⓢ ⓘⓛⓛ ⓞⓡ ⓦⓔⓐⓚ","¿El menor tiene algo de los siguiente?
- Fiebre de más de 100.4 F (38.0 &deg;C)
- Tos
- Dificultad para respirar
- Se le ve enfermo o débil"
covid19_phsc_ask_travel,Have the child or a household contact traveled to one of the [Centers for Disease Control and Prevention’s high-risk countries](https://wwwnc.cdc.gov/travel/notices) within the last 14 days?,卄ⓐⓥⓔ ⓣⓗⓔ ⓒⓗⓘⓛⓓ ⓞⓡ ⓐ  ⓗⓞⓤⓢⓔⓗⓞⓛⓓ ⓒⓞⓝⓣⓐⓒⓣ ⓣⓡⓐⓥⓔⓛⓔⓓ ⓣⓞ ⓞⓝⓔ ⓞⓕ ⓣⓗⓔ [匚ⓔⓝⓣⓔⓡⓢ ⓕⓞⓡ ᗪⓘⓢⓔⓐⓢⓔ 匚ⓞⓝⓣⓡⓞⓛ ⓐⓝⓓ 卩ⓡⓔⓥⓔⓝⓣⓘⓞⓝ’ⓢ ⓗⓘⓖⓗ-ⓡⓘⓢⓚ ⓒⓞⓤⓝⓣⓡⓘⓔⓢ](https://wwwnc.cdc.gov/travel/notices?l=en-zw) ⓦⓘⓣⓗⓘⓝ ⓣⓗⓔ ⓛⓐⓢⓣ ①④ ⓓⓐⓨⓢ?,¿El menor o alguien con quien él estuvo en contacto en casa ha viajado a alguno de los países [considerados de alto riesgo por los Centros para el Control y la Prevención de Enfermedades](https://wwwnc.cdc.gov/travel/notices) en los últimos 14 días?
covid19_phsc_ask_under_3mo,Is the child younger than 3 months of age?,丨ⓢ ⓣⓗⓔ ⓒⓗⓘⓛⓓ  ⓨⓞⓤⓝⓖⓔⓡ ⓣⓗⓐⓝ ③ ⓜⓞⓝⓣⓗⓢ ⓞⓕ ⓐⓖⓔ?,¿El menor tiene menos de 3 meses de edad?
covid19_phsc_end_call_pediatrician,Please call the child’s pediatrician’s office.,卩ⓛⓔⓐⓢⓔ ⓒⓐⓛⓛ ⓣⓗⓔ ⓒⓗⓘⓛⓓ’ⓢ ⓟⓔⓓⓘⓐⓣⓡⓘⓒⓘⓐⓝ’ⓢ ⓞⓕⓕⓘⓒⓔ.,Por favor llame al consultorio de su pediatra.
covid19_phsc_end_message_provider,"If your child is an existing patient, send your child’s provider a message using [MyAdvocateAurora](https://myadvocateaurora.org/chart/) or the [LiveWell app](https://www.advocateaurorahealth.org/livewell).","丨ⓕ ⓨⓞⓤⓡ ⓒⓗⓘⓛⓓ ⓘⓢ ⓐⓝ ⓔⓧⓘⓢⓣⓘⓝⓖ ⓟⓐⓣⓘⓔⓝⓣ, ⓢⓔⓝⓓ ⓨⓞⓤⓡ ⓒⓗⓘⓛⓓ’ⓢ ⓟⓡⓞⓥⓘⓓⓔⓡ ⓐ ⓜⓔⓢⓢⓐⓖⓔ ⓤⓢⓘⓝⓖ [爪ⓨ卂ⓓⓥⓞⓒⓐⓣⓔ卂ⓤⓡⓞⓡⓐ](https://myadvocateaurora.org/chart/?l=en-zw) ⓞⓡ ⓣⓗⓔ [ㄥⓘⓥⓔ山ⓔⓛⓛ ⓐⓟⓟ](https://www.advocateaurorahealth.org/livewell?l=en-zw).","Si el menor es paciente actualmente, envíe un mensaje al proveedor del menor usando [MyAdvocateAurora](https://myadvocateaurora.org/chart/) o la aplicación [LiveWell app](https://www.advocateaurorahealth.org/livewell)."
covid19_phsc_end_video_visit,We recommend that you schedule a video visit with one of our providers through our LiveWell app.,山ⓔ ⓡⓔⓒⓞⓜⓜⓔⓝⓓ ⓣⓗⓐⓣ ⓨⓞⓤ ⓢⓒⓗⓔⓓⓤⓛⓔ ⓐ ⓥⓘⓓⓔⓞ ⓥⓘⓢⓘⓣ ⓦⓘⓣⓗ ⓞⓝⓔ ⓞⓕ ⓞⓤⓡ ⓟⓡⓞⓥⓘⓓⓔⓡⓢ ⓣⓗⓡⓞⓤⓖⓗ ⓞⓤⓡ ㄥⓘⓥⓔ山ⓔⓛⓛ ⓐⓟⓟ.,"Llame al 1 (866) 443-2584 para hablar con uno de los miembros de nuestro equipo, quien le preguntará sobre sus síntomas y determinará la mejor manera de proceder con la atención."
covid19_phsc_end_visit_ed,Visit your nearest emergency department for further evaluation.,ᐯⓘⓢⓘⓣ ⓨⓞⓤⓡ ⓝⓔⓐⓡⓔⓢⓣ ⓔⓜⓔⓡⓖⓔⓝⓒⓨ ⓓⓔⓟⓐⓡⓣⓜⓔⓝⓣ ⓕⓞⓡ ⓕⓤⓡⓣⓗⓔⓡ ⓔⓥⓐⓛⓤⓐⓣⓘⓞⓝ.,Vaya a la sala de emergencias más cercana para evaluaciones adicionales.
covid19_phsc_schedule_a_video_visit,Schedule a video visit,丂ⓒⓗⓔⓓⓤⓛⓔ ⓐ ⓥⓘⓓⓔⓞ ⓥⓘⓢⓘⓣ,1 (866) 443-2584
covid19_triage_ask_age_group,Who are you doing an assessment for?,山ⓗⓞ ⓐⓡⓔ ⓨⓞⓤ ⓓⓞⓘⓝⓖ ⓐⓝ ⓐⓢⓢⓔⓢⓢⓜⓔⓝⓣ ⓕⓞⓡ?,¿Para quién es la evaluación?
covid19_triage_ask_terms_agreement,"I understand that the Advocate Aurora Health COVID-19 Symptom Checker should never be used for urgent matters. If I am experiencing a life-threatening illness or injury or a condition I want assessed quickly, I will go to the nearest hospital emergency department and/or dial 9-1-1 for immediate attention. I will contact my Advocate Aurora Health physician by phone or seek walk-in services if I have a matter that requires medical attention and cannot wait for a routinely scheduled appointment.","丨 ⓤⓝⓓⓔⓡⓢⓣⓐⓝⓓ ⓣⓗⓐⓣ ⓣⓗⓔ 卂ⓓⓥⓞⓒⓐⓣⓔ 卂ⓤⓡⓞⓡⓐ 卄ⓔⓐⓛⓣⓗ 匚ㄖᐯ丨ᗪ-①⑨ 丂ⓨⓜⓟⓣⓞⓜ 匚ⓗⓔⓒⓚⓔⓡ ⓢⓗⓞⓤⓛⓓ ⓝⓔⓥⓔⓡ ⓑⓔ ⓤⓢⓔⓓ ⓕⓞⓡ ⓤⓡⓖⓔⓝⓣ ⓜⓐⓣⓣⓔⓡⓢ. 丨ⓕ 丨 ⓐⓜ ⓔⓧⓟⓔⓡⓘⓔⓝⓒⓘⓝⓖ ⓐ ⓛⓘⓕⓔ-ⓣⓗⓡⓔⓐⓣⓔⓝⓘⓝⓖ ⓘⓛⓛⓝⓔⓢⓢ ⓞⓡ ⓘⓝⓙⓤⓡⓨ ⓞⓡ ⓐ ⓒⓞⓝⓓⓘⓣⓘⓞⓝ 丨 ⓦⓐⓝⓣ ⓐⓢⓢⓔⓢⓢⓔⓓ ⓠⓤⓘⓒⓚⓛⓨ, 丨 ⓦⓘⓛⓛ ⓖⓞ ⓣⓞ ⓣⓗⓔ ⓝⓔⓐⓡⓔⓢⓣ ⓗⓞⓢⓟⓘⓣⓐⓛ ⓔⓜⓔⓡⓖⓔⓝⓒⓨ ⓓⓔⓟⓐⓡⓣⓜⓔⓝⓣ ⓐⓝⓓ/ⓞⓡ ⓓⓘⓐⓛ ⑨-①-① ⓕⓞⓡ ⓘⓜⓜⓔⓓⓘⓐⓣⓔ ⓐⓣⓣⓔⓝⓣⓘⓞⓝ. 丨 ⓦⓘⓛⓛ ⓒⓞⓝⓣⓐⓒⓣ ⓜⓨ 卂ⓓⓥⓞⓒⓐⓣⓔ 卂ⓤⓡⓞⓡⓐ 卄ⓔⓐⓛⓣⓗ ⓟⓗⓨⓢⓘⓒⓘⓐⓝ ⓑⓨ ⓟⓗⓞⓝⓔ ⓞⓡ ⓢⓔⓔⓚ ⓦⓐⓛⓚ-ⓘⓝ ⓢⓔⓡⓥⓘⓒⓔⓢ ⓘⓕ 丨 ⓗⓐⓥⓔ ⓐ ⓜⓐⓣⓣⓔⓡ ⓣⓗⓐⓣ ⓡⓔⓠⓤⓘⓡⓔⓢ ⓜⓔⓓⓘⓒⓐⓛ ⓐⓣⓣⓔⓝⓣⓘⓞⓝ ⓐⓝⓓ ⓒⓐⓝⓝⓞⓣ ⓦⓐⓘⓣ ⓕⓞⓡ ⓐ ⓡⓞⓤⓣⓘⓝⓔⓛⓨ ⓢⓒⓗⓔⓓⓤⓛⓔⓓ ⓐⓟⓟⓞⓘⓝⓣⓜⓔⓝⓣ.","Entiendo que el verificador de síntomas de Advocate Aurora Health COVID-19 nunca debe usarse en situaciones urgentes. Si tengo una enfermedad, una lesión o un padecimiento con riesgo de vida y deseo que me evalúen inmediatamente, acudiré al departamento de emergencias del hospital más cercano y/o llamaré al 911 para recibir atención inmediata. Me contactaré con mi médico de Advocate Aurora Health por teléfono o buscaré servicio en persona si mi situación requiere atención inmediata y no puedo esperar a una cita programada."
covid19_triage_decline,Decline,ᗪⓔⓒⓛⓘⓝⓔ,No estoy de acuerdo
covid19_triage_i_agree,I Agree,丨 卂ⓖⓡⓔⓔ,Estoy de acuerdo
stringId_b27605589e597121,Sample String,,
stringId_3feb1391eb7c44d3,Sample String,,
covid19_hsc_end_message_provider_aah_label,Advocate Aurora Health,卂ⓓⓥⓞⓒⓐⓣⓔ 卂ⓤⓡⓞⓡⓐ 卄ⓔⓐⓛⓣⓗ,Advocate Aurora Health
covid19_hsc_end_message_provider_aah_url,http://www.aah.org/coronavirus,http://www.aah.org/coronavirus?l=en-zw,http://www.aah.org/coronavirus
covid19_hsc_end_message_provider_cdc_label,Centers for Disease Control,匚ⓔⓝⓣⓔⓡⓢ ⓕⓞⓡ ᗪⓘⓢⓔⓐⓢⓔ 匚ⓞⓝⓣⓡⓞⓛ,CDC
covid19_hsc_end_message_provider_cdc_url,http://cdc.gov/coronavirus/2019-nCoV,http://cdc.gov/coronavirus/2019-nCoV?l=en-zw,http://cdc.gov/coronavirus/2019-nCoV
covid19_hsc_end_message_provider_more_text,Find more COVID-19 resources:,千ⓘⓝⓓ ⓜⓞⓡⓔ 匚ㄖᐯ丨ᗪ-①⑨ ⓡⓔⓢⓞⓤⓡⓒⓔⓢ:,Encuentre más recursos sobre COVID-19:
covid19_hsc_schedule_a_video_visit_url,https://www.advocateaurorahealth.org/on-demand-video-visits,https://www.advocateaurorahealth.org/on-demand-video-visits?l=en-zw,tel:18664432584
covid19_phsc_end_message_provider_aah_label,Advocate Aurora Health,卂ⓓⓥⓞⓒⓐⓣⓔ 卂ⓤⓡⓞⓡⓐ 卄ⓔⓐⓛⓣⓗ,Advocate Aurora Health
covid19_phsc_end_message_provider_aah_url,http://www.aah.org/coronavirus,http://www.aah.org/coronavirus?l=en-zw,http://www.aah.org/coronavirus
covid19_phsc_end_message_provider_cdc_label,Centers for Disease Control,匚ⓔⓝⓣⓔⓡⓢ ⓕⓞⓡ ᗪⓘⓢⓔⓐⓢⓔ 匚ⓞⓝⓣⓡⓞⓛ,CDC
covid19_phsc_end_message_provider_cdc_url,http://cdc.gov/coronavirus/2019-nCoV,http://cdc.gov/coronavirus/2019-nCoV?l=en-zw,http://cdc.gov/coronavirus/2019-nCoV
covid19_phsc_end_message_provider_more_text,Find more COVID-19 resources:,千ⓘⓝⓓ ⓜⓞⓡⓔ 匚ㄖᐯ丨ᗪ-①⑨ ⓡⓔⓢⓞⓤⓡⓒⓔⓢ:,Encuentre más recursos sobre COVID-19:
covid19_phsc_schedule_a_video_visit_url,https://www.advocateaurorahealth.org/on-demand-video-visits,https://www.advocateaurorahealth.org/on-demand-video-visits?l=en-zw,tel:18664432584
stringId_1722055c53e63d9e,Do you accept our terms?,,
stringId_59e3f1b3d98afffa,Are you an adult or a child?,,
stringId_889bb6dcdac2e269,Please select your gender.,,
stringId_25b27065e9a81beb,Have you visited us before?,,
stringId_c1db62613d34cbf2,Do you live in the United States?,,
stringId_14e10fb17a885990,You have visited before and live in the United States.,,
stringId_46a3e39587309b6c,"You have either not visited before, or do not live in the United States, or both.",,
stringId_6820af5d63e287f0,Thank you.  Goodbye.,,
stringId_3494d45b0e70bca6,Here's what we know about you.,,
